Date,Item,Value,Label,unit,Note,Category,Color,Size
2018-02-25T15:40:38-05:00,Butter, 1,,,,Nutrition,3,0.5
2018-02-25T15:40:49-05:00, Caffeine,180,,mg,,Health,2,1.3333333333333333333333333333333333333
2018-02-25T15:41:01-05:00,Butter, 1,,,,Nutrition,3,0.5
2018-02-25T15:42:31-05:00, Ketones,15,,mg/dL,,Health,3,0.375
2018-02-25T16:41:58-05:00,Fiction,1,,,OverDrive,Audio,6,.5
2018-02-25T18:24:12-05:00,Snack, 1,,,,Nutrition,2,0.5
2018-02-25T22:18:56-05:00,Tortuga,1,,,Pandora,Audio,2,.5
2018-02-25T23:54:00-05:00, Ketones,15,,mg/dL,,Health,3,0.375
2018-02-25T23:54:13-05:00,Alcohol, 3,,,,Nutrition,6,1.5
2018-02-25T23:55:58-05:00,Fiction,1,,,OverDrive,Audio,6,.5
2018-02-26T07:32:05-05:00,Steps,5782,,,,Health,5,0.826
2018-02-26T07:42:31-05:00,Ketones,40,,mg/dL,,Health,3,1
2018-02-26T07:43:07-05:00,Weight,138.8,,lb,,Health,4,1.9
2018-02-26T07:44:08-05:00,Fiction,1,,,OverDrive,Audio,6,.5
2018-02-26T11:05:09-05:00,Butter, 2,,,,Nutrition,3,1
2018-02-26T11:05:21-05:00,Caffeine,180,,mg,,Health,2,1.3333333333333333333333333333333333333
2018-02-26T11:05:31-05:00,Caffeine,180,,mg,,Health,2,1.3333333333333333333333333333333333333
2018-02-26T12:58:52-05:00,Snack, 1,,,,Nutrition,2,0.5
2018-02-26T13:09:28-05:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-02-26T14:42:30-05:00,Tortuga,1,,,Pandora, Audio,2,.5
2018-02-26T19:34:05-05:00,Alcohol, 3,,,,Nutrition,6,1.5
2018-02-26T22:28:10-05:00,Alcohol, 3,,,,Nutrition,6,1.5
2018-02-27T11:52:04-05:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-02-27T11:52:41-05:00,Sleep,3.8,,hrs,,Health,6,0.54285714285714285714285714285714285714
2018-02-27T11:52:54-05:00,Steps,24090,,,,Health,5,3.4414285714285714285714285714285714285
2018-02-27T12:57:25-05:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-02-27T16:03:29-05:00,Fiction,1,,,OverDrive, Audio,6,.5
2018-02-27T17:31:08-05:00,Water,12,,ounces,,Health,1,0.6
